symbol,lstm_trained,transformed_included
INTC,False,True
HON,False,True
F,False,True
AVGO,False,True
ABNB,False,True
RBLX,False,True
T,False,True
HD,False,True
TSLA,False,True
MCD,False,True
COST,False,True
LLY,False,True
GOOGL,False,True
CMCSA,False,True
NEE,False,True
PG,False,True
ORCL,False,True
TXN,False,True
COIN,False,True
AMZN,False,True
UNH,False,True
MSFT,False,True
RTX,False,True
MMM,False,True
GM,False,True
IBM,False,True
CSCO,False,True
XOM,False,True
LOW,False,True
AAPL,False,True
V,False,True
CVX,False,True
ABT,False,True
VZ,False,True
MDT,False,True
AMGN,False,True
LIN,False,True
WMT,False,True
SBUX,False,True
NKE,False,True
MRK,False,True
PINS,False,True
CRM,False,True
AMD,False,True
TDOC,False,True
ETSY,False,True
PFE,False,True
NVDA,False,True
UNP,False,True
QCOM,False,True
