symbol,lstm_trained,transformed_included
META,False,True
GOOGL,False,True
NVDA,False,True
AMZN,False,True
BAC,False,True
CRM,False,True
TSLA,False,True
NFLX,False,True
AVAX-USD,True,True
LUNA-USD,False,True
V,False,True
MATIC-USD,False,True
LINK-USD,True,True
PG,False,True
SHIB-USD,True,True
SOL-USD,True,True
PFE,False,True
ADBE,False,True
BTC-USD,True,True
DOT-USD,True,True
XRP-USD,True,True
AVGO,False,True
ETH-USD,True,True
CSCO,False,True
ADA-USD,False,True
HD,False,True
JPM,False,True
AAPL,False,True
UNI-USD,True,True
UNH,False,True
DOGE-USD,True,True
MSFT,False,True
