symbol,lstm_trained,transformed_included
ONE-USD,False,True
UNH,False,True
MSFT,False,True
COMP-USD,False,True
GOOGL,False,True
LOW,False,True
OMG-USD,False,True
AAPL,False,True
QCOM,False,True
ADA-USD,False,True
SOL-USD,True,True
SKL-USD,False,True
NKE,False,True
RBLX,False,True
UNP,False,True
YFI-USD,True,True
AXS-USD,False,True
SBUX,False,True
LLY,False,True
1INCH-USD,False,True
LUNA-USD,False,True
EGLD-USD,False,True
ALGO-USD,False,True
GM,False,True
REN-USD,False,True
AVGO,False,True
MANA-USD,False,True
HON,False,True
TSLA,False,True
MDT,False,True
BAND-USD,False,True
BCH-USD,True,True
AMGN,False,True
PG,False,True
ABNB,False,True
WMT,False,True
IBM,False,True
CRV-USD,True,True
LIN,False,True
UNI-USD,True,True
MRK,False,True
AMD,False,True
DOGE-USD,True,True
INTC,False,True
CVX,False,True
ENJ-USD,False,True
MCD,False,True
PINS,False,True
AMZN,False,True
SUSHI-USD,True,True
XTZ-USD,True,True
T,False,True
ABT,False,True
NEE,False,True
GRT-USD,True,True
VZ,False,True
MMM,False,True
TDOC,False,True
XLM-USD,False,True
LTC-USD,True,True
SHIB-USD,True,True
CMCSA,False,True
HOT-USD,False,True
MKR-USD,True,True
LRC-USD,False,True
NU-USD,False,True
BAT-USD,True,True
DOT-USD,True,True
OGN-USD,False,True
TXN,False,True
LINK-USD,True,True
VET-USD,False,True
ANKR-USD,False,True
RTX,False,True
F,False,True
XRP-USD,True,True
SAND-USD,False,True
MATIC-USD,False,True
STORJ-USD,False,True
NVDA,False,True
ETSY,False,True
FTM-USD,False,True
ORCL,False,True
CSCO,False,True
ATOM-USD,False,True
CHZ-USD,False,True
PFE,False,True
HD,False,True
COST,False,True
HBAR-USD,False,True
BTC-USD,True,True
EOS-USD,False,True
AVAX-USD,True,True
XOM,False,True
CRM,False,True
COIN,False,True
ZEC-USD,False,True
ETH-USD,True,True
V,False,True
