Symbol,Strategy,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Trades,Total Fees,Avg Fee/Trade
AAPL,MovingAverageStrategy,-32.92946452716493,-6.612131522586105,-0.187267708447936,-60.31243288178209,29,11.480492121190816,0.3958790386617523
AAPL,LSTMPredictorStrategy,126.99970322325531,26.125653234498238,0.9131945815352461,-20.006478749510805,18,8.867206312774824,0.4926225729319347
MSFT,MovingAverageStrategy,-23.20474862462234,-4.659439564465999,-0.06822073733691868,-51.47642874240075,34,27.676769025592435,0.8140226183997775
MSFT,LSTMPredictorStrategy,-4.528375655442707,-0.9315515634053568,0.0877232130571019,-46.89071428037491,36,36.78825642323788,1.0218960117566078
GOOGL,MovingAverageStrategy,-24.62233919753554,-4.944087233290004,-0.14886901063258956,-52.844848679597064,29,12.005313397163594,0.4139763240401239
GOOGL,LSTMPredictorStrategy,-55.56668843125626,-11.430861620144146,-0.28754637883755124,-72.8377626692697,0,0.0,0.0
AMZN,MovingAverageStrategy,-14.704635935738008,-2.95264402853066,-0.013488020981496589,-47.89134975802391,33,13.213666065792609,0.40041412320583664
AMZN,LSTMPredictorStrategy,101.00438576913464,20.7780450725077,0.6554936612537597,-39.414851890541165,24,7.537554592596097,0.314064774691504
META,MovingAverageStrategy,-1.3423070736233056,-0.2695309821140024,0.1213161261929823,-37.8597232650105,31,30.511775905345857,0.984250835656318
META,LSTMPredictorStrategy,-42.59564619598738,-8.762532931745975,-0.15237227931343492,-84.32829767844542,12,11.058938490024751,0.9215782075020625
