symbol,short_window,long_window,use_ml,initial_capital,final_capital,total_return,annualized_return,sharpe_ratio,max_drawdown,trades
BTC-USD,10,15,False,2000,2158.9419530660684,0.07947097653303414,1.2516678803952879,4.089812426759679,-0.027911195253769575,3
BTC-USD,5,15,True,2000,2130.741529623268,0.06537076481163395,1.4975847938665234,5.846767551471938,-0.01929649823706803,2
BTC-USD,10,20,False,2000,2124.0135696480065,0.06200678482400335,1.4205190705135313,5.522747601283232,-0.02791119525376968,3
BTC-USD,10,20,True,2000,2124.0135696480065,0.06200678482400335,1.4205190705135313,5.522747601283232,-0.02791119525376968,3
BTC-USD,10,15,True,2000,2124.0135696480065,0.06200678482400335,1.4205190705135313,5.522747601283232,-0.02791119525376968,3
BTC-USD,3,10,True,2000,2121.476477715866,0.06073823885793317,1.3914578356544691,5.401700272066509,-0.019296498237068076,2
BTC-USD,3,15,True,2000,2121.476477715866,0.06073823885793317,1.3914578356544691,5.401700272066509,-0.019296498237068076,2
BTC-USD,3,20,True,2000,2121.476477715866,0.06073823885793317,1.3914578356544691,5.401700272066509,-0.019296498237068076,2
BTC-USD,3,20,False,2000,2121.476477715866,0.06073823885793317,1.3914578356544691,5.401700272066509,-0.019296498237068076,2
BTC-USD,5,10,True,2000,2075.6857928534578,0.03784289642672878,0.8669463545032412,3.3307782624800732,-0.023855600357755562,2
BTC-USD,5,20,True,2000,2075.6857928534578,0.03784289642672878,0.8669463545032412,3.3307782624800732,-0.023855600357755562,2
BTC-USD,5,20,False,2000,2075.6857928534578,0.03784289642672878,0.8669463545032412,3.3307782624800732,-0.023855600357755562,2
BTC-USD,7,20,True,2000,2035.721337294056,0.017860668647027955,0.4091716817319132,1.6295760601606524,-0.03665566420170559,2
BTC-USD,7,20,False,2000,2035.721337294056,0.017860668647027955,0.4091716817319132,1.6295760601606524,-0.03665566420170559,2
BTC-USD,7,10,True,2000,2035.721337294056,0.017860668647027955,0.4091716817319132,1.6295760601606524,-0.03665566420170559,2
BTC-USD,7,15,True,2000,2014.5611200563328,0.007280560028166461,0.16679101155435894,0.7435802420146818,-0.046669105160828964,2
BTC-USD,3,15,False,2000,1996.8857748928424,-0.001557112553578821,-0.02452452271886643,0.0802397733911478,-0.07387764107704421,3
BTC-USD,5,15,False,2000,1896.9568110909681,-0.051521594454515984,-0.8114651126586268,-2.4996583537910677,-0.1074120878333969,3
BTC-USD,3,10,False,2000,1878.400453220792,-0.06079977338960396,-0.7295972806752475,-2.0856781356629974,-0.12168046934391076,4
BTC-USD,15,20,True,2000,1877.1767687362615,-0.061411615631869254,-1.4068842853846413,-5.522747601283232,-0.07838870619921741,3
BTC-USD,15,20,False,2000,1877.1767687362615,-0.061411615631869254,-1.4068842853846413,-5.522747601283232,-0.07838870619921741,3
BTC-USD,7,15,False,2000,1874.2335865354976,-0.06288320673225123,-0.9904105060329569,-3.128301881744445,-0.09913722636148482,3
BTC-USD,7,10,False,2000,1781.54402099728,-0.10922798950135992,-1.310735874016319,-4.089162223649228,-0.16004715813981574,4
BTC-USD,5,10,False,2000,1738.2940613345174,-0.13085296933274126,-1.5702356319928952,-5.08333701943596,-0.1871926875466214,4
BTC-USD,3,30,False,2000,,,,,,1
BTC-USD,5,30,False,2000,,,,,,1
BTC-USD,7,30,False,2000,,,,,,1
BTC-USD,10,30,False,2000,,,,,,1
BTC-USD,15,30,False,2000,,,,,,1
