symbol,short_window,long_window,use_ml,initial_capital,final_capital,total_return,annualized_return,sharpe_ratio,max_drawdown,trades
MSFT,7,20,False,2000,2056.776520176358,0.028388260088179074,2.384613847407042,2151.954556442907,0.0,2
MSFT,7,20,True,2000,2056.776520176358,0.028388260088179074,2.384613847407042,2151.954556442907,0.0,2
MSFT,7,15,True,2000,2056.776520176358,0.028388260088179074,2.384613847407042,2151.954556442907,0.0,2
MSFT,15,20,False,2000,1999.8967677890244,-5.1616105487872765e-05,-0.004335752860981312,0.05855142229781696,-0.014021280085846306,1
MSFT,15,20,True,2000,1999.8967677890244,-5.1616105487872765e-05,-0.004335752860981312,0.05855142229781696,-0.014021280085846306,1
MSFT,10,20,False,2000,1999.8967677890244,-5.1616105487872765e-05,-0.004335752860981312,0.05855142229781696,-0.014021280085846306,1
MSFT,10,20,True,2000,1999.8967677890244,-5.1616105487872765e-05,-0.004335752860981312,0.05855142229781696,-0.014021280085846306,1
MSFT,10,15,True,2000,1999.8967677890244,-5.1616105487872765e-05,-0.004335752860981312,0.05855142229781696,-0.014021280085846306,1
MSFT,5,20,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,5,20,False,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,3,10,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,5,15,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,5,10,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,3,20,False,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,3,20,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,3,15,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,7,10,True,2000,1999.3086001670274,-0.00034569991648625287,-0.02903879298484524,-0.05855142229781696,0.0,1
MSFT,3,10,False,2000,1979.1047978047768,-0.010447601097611559,-0.2025227289690856,-0.6075758748452053,-0.06656210518470185,4
MSFT,7,15,False,2000,1964.0481977489458,-0.01797590112552716,-0.5662408854541056,-2.0233598150613337,-0.04519837617895246,2
MSFT,10,15,False,2000,1909.7328289819147,-0.04513358550904267,-1.4217079435348443,-5.69086777122956,-0.04524765932028769,1
MSFT,5,15,False,2000,1909.1711784833676,-0.045414410758316204,-1.4305539388869606,-5.733637860387931,-0.05872631302310864,2
MSFT,3,15,False,2000,1909.1711784833676,-0.045414410758316204,-1.4305539388869606,-5.733637860387931,-0.05872631302310864,2
MSFT,5,10,False,2000,1879.8344661130263,-0.0600827669434868,-1.164681328442975,-4.427133984742899,-0.07230406753396795,4
MSFT,7,10,False,2000,1806.1596066036896,-0.09692019669815521,-1.878760735995009,-8.003087317402564,-0.10372783233125303,4
